info: ::1 - - [03/Apr/2024:14:10:26 +0000] "POST /api/v1/auth/login HTTP/1.1" 500 96 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"

info: ::1 - - [03/Apr/2024:14:11:39 +0000] "POST /api/v1/auth/login HTTP/1.1" 500 96 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36"

info: ::1 - - [03/Apr/2024:14:17:57 +0000] "POST /api/v1/auth/login HTTP/1.1" 500 96 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36"

info: ::1 - - [03/Apr/2024:14:21:59 +0000] "POST /api/v1/auth/login HTTP/1.1" 500 96 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36"

info: ::1 - - [03/Apr/2024:14:27:42 +0000] "POST /api/v1/auth/login HTTP/1.1" 500 96 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36"

info: ::1 - - [03/Apr/2024:14:28:36 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 359 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36"

info: ::1 - - [03/Apr/2024:14:30:14 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 359 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36"

info: ::1 - - [03/Apr/2024:14:30:39 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 359 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36"

info: ::1 - - [03/Apr/2024:14:30:46 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 359 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36"

info: ::1 - - [03/Apr/2024:14:30:50 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 359 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36"

info: ::1 - - [03/Apr/2024:14:32:28 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 359 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36"

